id,run_id,"('Parameter', 'dummy', 'number_of_agents_mean')","('Parameter', 'omnet', '**wlan[*].radio.transmitter.power')","('Parameter', 'omnet', '*.hostMobile[*].app[1].messageLength')","('Parameter', 'omnet', '*.manager.host')","('Parameter', 'omnet', '*.manager.useVadereSeed')","('Parameter', 'vadere', 'attributesSimulation.fixedSeed')","('Parameter', 'vadere', 'attributesSimulation.useFixedSeed')","('Parameter', 'vadere', 'sources.[id==1].distributionParameters')","('Parameter', 'vadere', 'sources.[id==2].distributionParameters')","('Parameter', 'vadere', 'sources.[id==5].distributionParameters')","('Parameter', 'vadere', 'sources.[id==6].distributionParameters')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,131.0,1.28mW,386B,"""vadere_Sample__0_0""",true,65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275],398.7383830547333,0.0
1,0,553.0,1.28mW,386B,"""vadere_Sample__1_0""",true,65722447231342458,True,[1.3825],[1.3825],[1.3825],[1.3825],2225.6403431892395,0.0
2,0,131.0,1.28mW,1121B,"""vadere_Sample__2_0""",true,65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275],666.8597493171692,0.0
3,0,131.0,1.86mW,386B,"""vadere_Sample__3_0""",true,65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275],553.4364399909973,0.0
4,0,131.0,1.86mW,1121B,"""vadere_Sample__4_0""",true,65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275],324.04401302337646,0.0
5,0,553.0,1.86mW,386B,"""vadere_Sample__5_0""",true,65722447231342458,True,[1.3825],[1.3825],[1.3825],[1.3825],3836.894010066986,0.0
6,0,553.0,1.28mW,1121B,"""vadere_Sample__6_0""",true,65722447231342458,True,[1.3825],[1.3825],[1.3825],[1.3825],1529.343757867813,0.0
7,0,553.0,1.86mW,1121B,"""vadere_Sample__7_0""",true,65722447231342458,True,[1.3825],[1.3825],[1.3825],[1.3825],1668.230798959732,0.0
8,0,620.0,0.53mW,2386B,"""vadere_Sample__8_0""",true,65722447231342458,True,[1.55],[1.55],[1.55],[1.55],2557.637731552124,0.0
9,0,105.0,0.53mW,2386B,"""vadere_Sample__9_0""",true,65722447231342458,True,[0.2625],[0.2625],[0.2625],[0.2625],544.0020995140076,0.0
10,0,620.0,0.53mW,3121B,"""vadere_Sample__10_0""",true,65722447231342458,True,[1.55],[1.55],[1.55],[1.55],1529.0290307998657,0.0
11,0,620.0,1.11mW,2386B,"""vadere_Sample__11_0""",true,65722447231342458,True,[1.55],[1.55],[1.55],[1.55],2163.8770158290863,0.0
12,0,620.0,1.11mW,3121B,"""vadere_Sample__12_0""",true,65722447231342458,True,[1.55],[1.55],[1.55],[1.55],2171.9670486450195,0.0
13,0,105.0,1.11mW,2386B,"""vadere_Sample__13_0""",true,65722447231342458,True,[0.2625],[0.2625],[0.2625],[0.2625],580.090291261673,0.0
14,0,105.0,0.53mW,3121B,"""vadere_Sample__14_0""",true,65722447231342458,True,[0.2625],[0.2625],[0.2625],[0.2625],489.6732108592987,0.0
15,0,105.0,1.11mW,3121B,"""vadere_Sample__15_0""",true,65722447231342458,True,[0.2625],[0.2625],[0.2625],[0.2625],838.5389783382416,0.0
16,0,1520.0,1.65mW,1386B,"""vadere_Sample__16_0""",true,65722447231342458,True,[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],5951.084202289581,0.0
17,0,1207.0,1.65mW,1386B,"""vadere_Sample__17_0""",true,65722447231342458,True,[3.0175],[3.0175],[3.0175],[3.0175],2215.1291410923004,0.0
18,0,1520.0,1.65mW,2121B,"""vadere_Sample__18_0""",true,65722447231342458,True,[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],7026.583996772766,0.0
19,0,1520.0,0.74mW,1386B,"""vadere_Sample__19_0""",true,65722447231342458,True,[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],5633.502507448196,0.0
20,0,1520.0,0.74mW,2121B,"""vadere_Sample__20_0""",true,65722447231342458,True,[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],4070.78759765625,0.0
21,0,1207.0,0.74mW,1386B,"""vadere_Sample__21_0""",true,65722447231342458,True,[3.0175],[3.0175],[3.0175],[3.0175],3125.1220705509186,0.0
22,0,1207.0,1.65mW,2121B,"""vadere_Sample__22_0""",true,65722447231342458,True,[3.0175],[3.0175],[3.0175],[3.0175],3226.7576718330383,0.0
23,0,1207.0,0.74mW,2121B,"""vadere_Sample__23_0""",true,65722447231342458,True,[3.0175],[3.0175],[3.0175],[3.0175],4347.347001075745,0.0
24,0,318.0,0.9mW,3386B,"""vadere_Sample__24_0""",true,65722447231342458,True,[0.795],[0.795],[0.795],[0.795],3236.8063974380493,0.0
25,0,280.0,0.9mW,3386B,"""vadere_Sample__25_0""",true,65722447231342458,True,[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],875.5396173000336,0.0
26,0,318.0,0.9mW,121B,"""vadere_Sample__26_0""",true,65722447231342458,True,[0.795],[0.795],[0.795],[0.795],1988.5918357372284,0.0
27,0,318.0,1.49mW,3386B,"""vadere_Sample__27_0""",true,65722447231342458,True,[0.795],[0.795],[0.795],[0.795],1652.243037223816,0.0
28,0,318.0,1.49mW,121B,"""vadere_Sample__28_0""",true,65722447231342458,True,[0.795],[0.795],[0.795],[0.795],1624.4181580543518,0.0
29,0,280.0,1.49mW,3386B,"""vadere_Sample__29_0""",true,65722447231342458,True,[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],1097.2145237922668,0.0
30,0,280.0,0.9mW,121B,"""vadere_Sample__30_0""",true,65722447231342458,True,[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],1263.9032442569733,0.0
31,0,280.0,1.49mW,121B,"""vadere_Sample__31_0""",true,65722447231342458,True,[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],935.1607220172882,0.0
32,0,216.0,0.72mW,1886B,"""vadere_Sample__32_0""",true,65722447231342458,True,[0.54],[0.54],[0.54],[0.54],609.0480406284332,0.0
33,0,185.0,0.72mW,1886B,"""vadere_Sample__33_0""",true,65722447231342458,True,[0.4625],[0.4625],[0.4625],[0.4625],767.1434924602509,0.0
34,0,216.0,0.72mW,621B,"""vadere_Sample__34_0""",true,65722447231342458,True,[0.54],[0.54],[0.54],[0.54],639.2182204723358,0.0
35,0,216.0,1.67mW,1886B,"""vadere_Sample__35_0""",true,65722447231342458,True,[0.54],[0.54],[0.54],[0.54],533.8280704021454,0.0
36,0,216.0,1.67mW,621B,"""vadere_Sample__36_0""",true,65722447231342458,True,[0.54],[0.54],[0.54],[0.54],744.8608288764954,0.0
37,0,185.0,1.67mW,1886B,"""vadere_Sample__37_0""",true,65722447231342458,True,[0.4625],[0.4625],[0.4625],[0.4625],768.4019432067871,0.0
38,0,185.0,0.72mW,621B,"""vadere_Sample__38_0""",true,65722447231342458,True,[0.4625],[0.4625],[0.4625],[0.4625],468.8473176956177,0.0
39,0,185.0,1.67mW,621B,"""vadere_Sample__39_0""",true,65722447231342458,True,[0.4625],[0.4625],[0.4625],[0.4625],607.7800071239471,0.0
40,0,889.0,1.47mW,3886B,"""vadere_Sample__40_0""",true,65722447231342458,True,[2.2225],[2.2225],[2.2225],[2.2225],2350.477656364441,0.0
