,,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter
,,dummy,omnet,omnet,omnet,omnet,vadere,vadere,vadere,vadere,vadere,vadere
,,number_of_agents_mean,**wlan[*].radio.transmitter.power,*.hostMobile[*].app[1].messageLength,*.manager.host,*.manager.useVadereSeed,attributesSimulation.fixedSeed,attributesSimulation.useFixedSeed,sources.[id==1].distributionParameters,sources.[id==2].distributionParameters,sources.[id==5].distributionParameters,sources.[id==6].distributionParameters
id,run_id,,,,,,,,,,,
0,0,131.0,1.28mW,483B,"""vadere_Sample__0_0""",true,65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275]
1,0,553.0,1.28mW,483B,"""vadere_Sample__1_0""",true,65722447231342458,True,[1.3825],[1.3825],[1.3825],[1.3825]
2,0,131.0,1.28mW,1401B,"""vadere_Sample__2_0""",true,65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275]
3,0,131.0,1.86mW,483B,"""vadere_Sample__3_0""",true,65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275]
4,0,131.0,1.86mW,1401B,"""vadere_Sample__4_0""",true,65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275]
5,0,553.0,1.86mW,483B,"""vadere_Sample__5_0""",true,65722447231342458,True,[1.3825],[1.3825],[1.3825],[1.3825]
6,0,553.0,1.28mW,1401B,"""vadere_Sample__6_0""",true,65722447231342458,True,[1.3825],[1.3825],[1.3825],[1.3825]
7,0,553.0,1.86mW,1401B,"""vadere_Sample__7_0""",true,65722447231342458,True,[1.3825],[1.3825],[1.3825],[1.3825]
8,0,620.0,0.53mW,2983B,"""vadere_Sample__8_0""",true,65722447231342458,True,[1.55],[1.55],[1.55],[1.55]
9,0,105.0,0.53mW,2983B,"""vadere_Sample__9_0""",true,65722447231342458,True,[0.2625],[0.2625],[0.2625],[0.2625]
10,0,620.0,0.53mW,3901B,"""vadere_Sample__10_0""",true,65722447231342458,True,[1.55],[1.55],[1.55],[1.55]
11,0,620.0,1.11mW,2983B,"""vadere_Sample__11_0""",true,65722447231342458,True,[1.55],[1.55],[1.55],[1.55]
12,0,620.0,1.11mW,3901B,"""vadere_Sample__12_0""",true,65722447231342458,True,[1.55],[1.55],[1.55],[1.55]
13,0,105.0,1.11mW,2983B,"""vadere_Sample__13_0""",true,65722447231342458,True,[0.2625],[0.2625],[0.2625],[0.2625]
14,0,105.0,0.53mW,3901B,"""vadere_Sample__14_0""",true,65722447231342458,True,[0.2625],[0.2625],[0.2625],[0.2625]
15,0,105.0,1.11mW,3901B,"""vadere_Sample__15_0""",true,65722447231342458,True,[0.2625],[0.2625],[0.2625],[0.2625]
16,0,1520.0,1.65mW,1733B,"""vadere_Sample__16_0""",true,65722447231342458,True,[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],[3.8000000000000003]
17,0,1207.0,1.65mW,1733B,"""vadere_Sample__17_0""",true,65722447231342458,True,[3.0175],[3.0175],[3.0175],[3.0175]
18,0,1520.0,1.65mW,2651B,"""vadere_Sample__18_0""",true,65722447231342458,True,[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],[3.8000000000000003]
19,0,1520.0,0.74mW,1733B,"""vadere_Sample__19_0""",true,65722447231342458,True,[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],[3.8000000000000003]
20,0,1520.0,0.74mW,2651B,"""vadere_Sample__20_0""",true,65722447231342458,True,[3.8000000000000003],[3.8000000000000003],[3.8000000000000003],[3.8000000000000003]
21,0,1207.0,0.74mW,1733B,"""vadere_Sample__21_0""",true,65722447231342458,True,[3.0175],[3.0175],[3.0175],[3.0175]
22,0,1207.0,1.65mW,2651B,"""vadere_Sample__22_0""",true,65722447231342458,True,[3.0175],[3.0175],[3.0175],[3.0175]
23,0,1207.0,0.74mW,2651B,"""vadere_Sample__23_0""",true,65722447231342458,True,[3.0175],[3.0175],[3.0175],[3.0175]
24,0,318.0,0.9mW,4233B,"""vadere_Sample__24_0""",true,65722447231342458,True,[0.795],[0.795],[0.795],[0.795]
25,0,280.0,0.9mW,4233B,"""vadere_Sample__25_0""",true,65722447231342458,True,[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],[0.7000000000000001]
26,0,318.0,0.9mW,151B,"""vadere_Sample__26_0""",true,65722447231342458,True,[0.795],[0.795],[0.795],[0.795]
27,0,318.0,1.49mW,4233B,"""vadere_Sample__27_0""",true,65722447231342458,True,[0.795],[0.795],[0.795],[0.795]
28,0,318.0,1.49mW,151B,"""vadere_Sample__28_0""",true,65722447231342458,True,[0.795],[0.795],[0.795],[0.795]
29,0,280.0,1.49mW,4233B,"""vadere_Sample__29_0""",true,65722447231342458,True,[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],[0.7000000000000001]
30,0,280.0,0.9mW,151B,"""vadere_Sample__30_0""",true,65722447231342458,True,[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],[0.7000000000000001]
31,0,280.0,1.49mW,151B,"""vadere_Sample__31_0""",true,65722447231342458,True,[0.7000000000000001],[0.7000000000000001],[0.7000000000000001],[0.7000000000000001]
32,0,216.0,0.72mW,2358B,"""vadere_Sample__32_0""",true,65722447231342458,True,[0.54],[0.54],[0.54],[0.54]
33,0,185.0,0.72mW,2358B,"""vadere_Sample__33_0""",true,65722447231342458,True,[0.4625],[0.4625],[0.4625],[0.4625]
34,0,216.0,0.72mW,776B,"""vadere_Sample__34_0""",true,65722447231342458,True,[0.54],[0.54],[0.54],[0.54]
35,0,216.0,1.67mW,2358B,"""vadere_Sample__35_0""",true,65722447231342458,True,[0.54],[0.54],[0.54],[0.54]
36,0,216.0,1.67mW,776B,"""vadere_Sample__36_0""",true,65722447231342458,True,[0.54],[0.54],[0.54],[0.54]
37,0,185.0,1.67mW,2358B,"""vadere_Sample__37_0""",true,65722447231342458,True,[0.4625],[0.4625],[0.4625],[0.4625]
38,0,185.0,0.72mW,776B,"""vadere_Sample__38_0""",true,65722447231342458,True,[0.4625],[0.4625],[0.4625],[0.4625]
39,0,185.0,1.67mW,776B,"""vadere_Sample__39_0""",true,65722447231342458,True,[0.4625],[0.4625],[0.4625],[0.4625]
40,0,889.0,1.47mW,4858B,"""vadere_Sample__40_0""",true,65722447231342458,True,[2.2225],[2.2225],[2.2225],[2.2225]
41,0,780.0,1.47mW,4858B,"""vadere_Sample__41_0""",true,65722447231342458,True,[1.95],[1.95],[1.95],[1.95]
42,0,889.0,1.47mW,3276B,"""vadere_Sample__42_0""",true,65722447231342458,True,[2.2225],[2.2225],[2.2225],[2.2225]
43,0,889.0,0.92mW,4858B,"""vadere_Sample__43_0""",true,65722447231342458,True,[2.2225],[2.2225],[2.2225],[2.2225]
44,0,889.0,0.92mW,3276B,"""vadere_Sample__44_0""",true,65722447231342458,True,[2.2225],[2.2225],[2.2225],[2.2225]
45,0,780.0,0.92mW,4858B,"""vadere_Sample__45_0""",true,65722447231342458,True,[1.95],[1.95],[1.95],[1.95]
46,0,780.0,1.47mW,3276B,"""vadere_Sample__46_0""",true,65722447231342458,True,[1.95],[1.95],[1.95],[1.95]
47,0,780.0,0.92mW,3276B,"""vadere_Sample__47_0""",true,65722447231342458,True,[1.95],[1.95],[1.95],[1.95]
48,0,446.0,1.09mW,1108B,"""vadere_Sample__48_0""",true,65722447231342458,True,[1.115],[1.115],[1.115],[1.115]
49,0,36.0,1.09mW,1108B,"""vadere_Sample__49_0""",true,65722447231342458,True,[0.09],[0.09],[0.09],[0.09]
50,0,446.0,1.09mW,4526B,"""vadere_Sample__50_0""",true,65722447231342458,True,[1.115],[1.115],[1.115],[1.115]
51,0,446.0,0.55mW,1108B,"""vadere_Sample__51_0""",true,65722447231342458,True,[1.115],[1.115],[1.115],[1.115]
52,0,446.0,0.55mW,4526B,"""vadere_Sample__52_0""",true,65722447231342458,True,[1.115],[1.115],[1.115],[1.115]
53,0,36.0,0.55mW,1108B,"""vadere_Sample__53_0""",true,65722447231342458,True,[0.09],[0.09],[0.09],[0.09]
54,0,36.0,1.09mW,4526B,"""vadere_Sample__54_0""",true,65722447231342458,True,[0.09],[0.09],[0.09],[0.09]
55,0,36.0,0.55mW,4526B,"""vadere_Sample__55_0""",true,65722447231342458,True,[0.09],[0.09],[0.09],[0.09]
56,0,59.0,1.84mW,3608B,"""vadere_Sample__56_0""",true,65722447231342458,True,[0.1475],[0.1475],[0.1475],[0.1475]
57,0,398.0,1.84mW,3608B,"""vadere_Sample__57_0""",true,65722447231342458,True,[0.995],[0.995],[0.995],[0.995]
58,0,59.0,1.84mW,2026B,"""vadere_Sample__58_0""",true,65722447231342458,True,[0.1475],[0.1475],[0.1475],[0.1475]
59,0,59.0,1.3mW,3608B,"""vadere_Sample__59_0""",true,65722447231342458,True,[0.1475],[0.1475],[0.1475],[0.1475]
60,0,59.0,1.3mW,2026B,"""vadere_Sample__60_0""",true,65722447231342458,True,[0.1475],[0.1475],[0.1475],[0.1475]
