,,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter
,,dummy,omnet,omnet,omnet,omnet,vadere,vadere,vadere,vadere,vadere,vadere
,,number_of_agents_mean,**wlan[*].radio.transmitter.power,*.hostMobile[*].app[1].messageLength,*.manager.host,*.manager.useVadereSeed,attributesSimulation.fixedSeed,attributesSimulation.useFixedSeed,sources.[id==1].distributionParameters,sources.[id==2].distributionParameters,sources.[id==5].distributionParameters,sources.[id==6].distributionParameters
id,run_id,,,,,,,,,,,
0,0,1061.0,0.78mW,11B,"""vadere_Sample__0_0""",true,65722447231342458,True,[2.6525],[2.6525],[2.6525],[2.6525]
1,0,1061.0,1.04mW,1746B,"""vadere_Sample__1_0""",true,65722447231342458,True,[2.6525],[2.6525],[2.6525],[2.6525]
2,0,1061.0,0.78mW,1746B,"""vadere_Sample__2_0""",true,65722447231342458,True,[2.6525],[2.6525],[2.6525],[2.6525]
3,0,1734.0,1.92mW,228B,"""vadere_Sample__3_0""",true,65722447231342458,True,[4.335],[4.335],[4.335],[4.335]
4,0,1734.0,1.02mW,228B,"""vadere_Sample__4_0""",true,65722447231342458,True,[4.335],[4.335],[4.335],[4.335]
5,0,676.0,0.8mW,505B,"""vadere_Sample__5_0""",true,65722447231342458,True,[1.69],[1.69],[1.69],[1.69]
6,0,183.0,1.64mW,3478B,"""vadere_Sample__6_0""",true,65722447231342458,True,[0.4575],[0.4575],[0.4575],[0.4575]
7,0,183.0,0.92mW,3478B,"""vadere_Sample__7_0""",true,65722447231342458,True,[0.4575],[0.4575],[0.4575],[0.4575]
8,0,1386.0,1.43mW,41B,"""vadere_Sample__8_0""",true,65722447231342458,True,[3.465],[3.465],[3.465],[3.465]
9,0,1386.0,1.13mW,41B,"""vadere_Sample__9_0""",true,65722447231342458,True,[3.465],[3.465],[3.465],[3.465]
10,0,132.0,1.13mW,2943B,"""vadere_Sample__10_0""",true,65722447231342458,True,[0.33],[0.33],[0.33],[0.33]
11,0,1625.0,0.78mW,2384B,"""vadere_Sample__11_0""",true,65722447231342458,True,[4.0625],[4.0625],[4.0625],[4.0625]
12,0,1625.0,1.4mW,2384B,"""vadere_Sample__12_0""",true,65722447231342458,True,[4.0625],[4.0625],[4.0625],[4.0625]
13,0,72.0,1.77mW,1974B,"""vadere_Sample__13_0""",true,65722447231342458,True,[0.18],[0.18],[0.18],[0.18]
14,0,1874.0,1.42mW,1662B,"""vadere_Sample__14_0""",true,65722447231342458,True,[4.6850000000000005],[4.6850000000000005],[4.6850000000000005],[4.6850000000000005]
15,0,1874.0,1.42mW,3322B,"""vadere_Sample__15_0""",true,65722447231342458,True,[4.6850000000000005],[4.6850000000000005],[4.6850000000000005],[4.6850000000000005]
16,0,1874.0,1.9mW,3322B,"""vadere_Sample__16_0""",true,65722447231342458,True,[4.6850000000000005],[4.6850000000000005],[4.6850000000000005],[4.6850000000000005]
17,0,663.0,1.79mW,322B,"""vadere_Sample__17_0""",true,65722447231342458,True,[1.6575],[1.6575],[1.6575],[1.6575]
18,0,1663.0,0.76mW,2708B,"""vadere_Sample__18_0""",true,65722447231342458,True,[4.1575],[4.1575],[4.1575],[4.1575]
19,0,1663.0,0.76mW,3025B,"""vadere_Sample__19_0""",true,65722447231342458,True,[4.1575],[4.1575],[4.1575],[4.1575]
20,0,243.0,1.21mW,3712B,"""vadere_Sample__20_0""",true,65722447231342458,True,[0.6075],[0.6075],[0.6075],[0.6075]
21,0,1939.0,0.55mW,462B,"""vadere_Sample__21_0""",true,65722447231342458,True,[4.8475],[4.8475],[4.8475],[4.8475]
22,0,1309.0,0.55mW,1521B,"""vadere_Sample__22_0""",true,65722447231342458,True,[3.2725],[3.2725],[3.2725],[3.2725]
23,0,1309.0,0.86mW,462B,"""vadere_Sample__23_0""",true,65722447231342458,True,[3.2725],[3.2725],[3.2725],[3.2725]
24,0,1309.0,0.55mW,462B,"""vadere_Sample__24_0""",true,65722447231342458,True,[3.2725],[3.2725],[3.2725],[3.2725]
25,0,343.0,1.61mW,3521B,"""vadere_Sample__25_0""",true,65722447231342458,True,[0.8575],[0.8575],[0.8575],[0.8575]
26,0,1782.0,1.55mW,3177B,"""vadere_Sample__26_0""",true,65722447231342458,True,[4.455],[4.455],[4.455],[4.455]
27,0,1782.0,1.55mW,1619B,"""vadere_Sample__27_0""",true,65722447231342458,True,[4.455],[4.455],[4.455],[4.455]
28,0,1782.0,1.06mW,3177B,"""vadere_Sample__28_0""",true,65722447231342458,True,[4.455],[4.455],[4.455],[4.455]
29,0,1782.0,1.06mW,1619B,"""vadere_Sample__29_0""",true,65722447231342458,True,[4.455],[4.455],[4.455],[4.455]
30,0,202.0,1.06mW,3177B,"""vadere_Sample__30_0""",true,65722447231342458,True,[0.505],[0.505],[0.505],[0.505]
31,0,202.0,1.55mW,1619B,"""vadere_Sample__31_0""",true,65722447231342458,True,[0.505],[0.505],[0.505],[0.505]
32,0,654.0,1.18mW,177B,"""vadere_Sample__32_0""",true,65722447231342458,True,[1.635],[1.635],[1.635],[1.635]
33,0,425.0,1.18mW,177B,"""vadere_Sample__33_0""",true,65722447231342458,True,[1.0625],[1.0625],[1.0625],[1.0625]
34,0,654.0,0.68mW,177B,"""vadere_Sample__34_0""",true,65722447231342458,True,[1.635],[1.635],[1.635],[1.635]
35,0,654.0,0.68mW,619B,"""vadere_Sample__35_0""",true,65722447231342458,True,[1.635],[1.635],[1.635],[1.635]
36,0,425.0,0.68mW,177B,"""vadere_Sample__36_0""",true,65722447231342458,True,[1.0625],[1.0625],[1.0625],[1.0625]
37,0,425.0,1.18mW,619B,"""vadere_Sample__37_0""",true,65722447231342458,True,[1.0625],[1.0625],[1.0625],[1.0625]
38,0,425.0,0.68mW,619B,"""vadere_Sample__38_0""",true,65722447231342458,True,[1.0625],[1.0625],[1.0625],[1.0625]
39,0,144.0,1.43mW,2619B,"""vadere_Sample__39_0""",true,65722447231342458,True,[0.36],[0.36],[0.36],[0.36]
40,0,49.0,1.43mW,2177B,"""vadere_Sample__40_0""",true,65722447231342458,True,[0.1225],[0.1225],[0.1225],[0.1225]
