timeStep numberPedsInformed-PID12 numberPedsAll-PID12 percentageInformed-PID12
1 0 0 0.0
2 0 0 0.0
3 0 4 0.0
4 0 11 0.0
5 0 17 0.0
6 0 22 0.0
7 0 27 0.0
8 0 34 0.0
9 0 41 0.0
10 0 51 0.0
11 0 63 0.0
12 0 70 0.0
13 0 74 0.0
14 0 86 0.0
15 0 92 0.0
16 0 100 0.0
17 0 106 0.0
18 0 115 0.0
19 0 121 0.0
20 0 134 0.0
21 0 140 0.0
22 0 150 0.0
23 0 157 0.0
24 0 163 0.0
25 0 172 0.0
26 0 182 0.0
27 0 189 0.0
28 0 195 0.0
29 0 204 0.0
30 0 212 0.0
31 0 221 0.0
32 0 231 0.0
33 0 237 0.0
34 0 242 0.0
35 0 249 0.0
36 0 258 0.0
37 0 270 0.0
38 0 288 0.0
39 0 291 0.0
40 0 298 0.0
41 0 305 0.0
42 0 317 0.0
43 0 329 0.0
44 0 334 0.0
45 0 341 0.0
46 0 345 0.0
47 0 354 0.0
48 0 358 0.0
49 0 365 0.0
50 0 368 0.0
51 0 379 0.0
52 0 388 0.0
53 0 398 0.0
54 0 403 0.0
55 0 411 0.0
56 0 416 0.0
57 0 426 0.0
58 0 435 0.0
59 0 440 0.0
60 0 447 0.0
61 0 455 0.0
62 0 460 0.0
63 0 474 0.0
64 0 478 0.0
65 0 485 0.0
66 0 492 0.0
67 0 499 0.0
68 0 506 0.0
69 0 511 0.0
70 0 520 0.0
71 0 529 0.0
72 0 534 0.0
73 0 545 0.0
74 0 549 0.0
75 0 554 0.0
76 0 564 0.0
77 0 568 0.0
78 0 575 0.0
79 0 580 0.0
80 0 586 0.0
81 0 593 0.0
82 0 599 0.0
83 0 603 0.0
84 0 608 0.0
85 0 612 0.0
86 0 622 0.0
87 0 628 0.0
88 0 637 0.0
89 0 649 0.0
90 0 657 0.0
91 0 664 0.0
92 0 670 0.0
93 0 679 0.0
94 0 681 0.0
95 0 688 0.0
96 0 695 0.0
97 0 705 0.0
98 0 714 0.0
99 0 724 0.0
100 0 730 0.0
101 0 735 0.0
102 0 743 0.0
103 0 746 0.0
104 0 757 0.0
105 0 765 0.0
106 0 775 0.0
107 0 784 0.0
108 0 790 0.0
109 0 797 0.0
110 0 808 0.0
111 0 814 0.0
112 0 821 0.0
113 0 831 0.0
114 0 840 0.0
115 0 849 0.0
116 0 859 0.0
117 0 865 0.0
118 0 871 0.0
119 0 881 0.0
120 0 887 0.0
121 0 894 0.0
122 0 902 0.0
123 0 910 0.0
124 0 920 0.0
125 0 934 0.0
126 0 940 0.0
127 0 952 0.0
128 0 960 0.0
129 0 978 0.0
130 0 983 0.0
131 0 987 0.0
132 0 993 0.0
133 0 1002 0.0
134 0 1008 0.0
135 0 1016 0.0
136 0 1026 0.0
137 0 1033 0.0
138 0 1039 0.0
139 0 1046 0.0
140 0 1057 0.0
141 0 1061 0.0
142 0 1069 0.0
143 0 1074 0.0
144 0 1080 0.0
145 0 1086 0.0
146 0 1089 0.0
147 0 1094 0.0
148 0 1102 0.0
149 0 1107 0.0
150 0 1114 0.0
151 0 1118 0.0
152 0 1124 0.0
153 0 1134 0.0
154 0 1140 0.0
155 0 1151 0.0
156 0 1157 0.0
157 0 1164 0.0
158 0 1171 0.0
159 0 1177 0.0
160 0 1184 0.0
161 0 1192 0.0
162 0 1199 0.0
163 0 1208 0.0
164 0 1215 0.0
165 0 1221 0.0
166 0 1233 0.0
167 0 1241 0.0
168 0 1252 0.0
169 0 1259 0.0
170 0 1266 0.0
171 0 1272 0.0
172 0 1277 0.0
173 0 1283 0.0
174 0 1291 0.0
175 0 1298 0.0
176 0 1302 0.0
177 0 1308 0.0
178 0 1318 0.0
179 0 1323 0.0
180 0 1335 0.0
181 0 1346 0.0
182 0 1350 0.0
183 0 1360 0.0
184 0 1368 0.0
185 0 1375 0.0
186 0 1391 0.0
187 0 1396 0.0
188 0 1404 0.0
189 0 1410 0.0
190 0 1420 0.0
191 0 1426 0.0
192 0 1432 0.0
193 0 1437 0.0
194 0 1453 0.0
195 0 1459 0.0
196 0 1464 0.0
197 0 1476 0.0
198 0 1484 0.0
199 0 1496 0.0
200 0 1500 0.0
201 0 1504 0.0
202 0 1507 0.0
203 0 1513 0.0
204 0 1517 0.0
205 0 1523 0.0
206 0 1533 0.0
207 0 1542 0.0
208 0 1549 0.0
209 0 1560 0.0
210 0 1568 0.0
211 0 1573 0.0
212 0 1581 0.0
213 0 1592 0.0
214 0 1601 0.0
215 0 1606 0.0
216 0 1614 0.0
217 0 1625 0.0
218 0 1627 0.0
219 0 1640 0.0
220 0 1646 0.0
221 0 1654 0.0
222 0 1664 0.0
223 0 1675 0.0
224 0 1682 0.0
225 0 1693 0.0
226 0 1707 0.0
227 0 1717 0.0
228 0 1721 0.0
229 0 1732 0.0
230 0 1737 0.0
231 0 1742 0.0
232 0 1747 0.0
233 0 1756 0.0
234 0 1762 0.0
235 0 1768 0.0
236 0 1779 0.0
237 0 1788 0.0
238 0 1797 0.0
239 0 1806 0.0
240 0 1813 0.0
241 0 1819 0.0
242 0 1828 0.0
243 0 1832 0.0
244 0 1842 0.0
245 0 1846 0.0
246 0 1855 0.0
247 0 1862 0.0
248 0 1873 0.0
249 0 1880 0.0
250 0 1886 0.0
251 0 1894 0.0
