id run_id numberOfAgents Power Traffic timeToInform
0 0 131.0 1.28 386.0 3.6
1 0 553.0 1.28 386.0 3.6
2 0 131.0 1.28 1121.0 10.8
3 0 131.0 1.86 386.0 5.6
4 0 131.0 1.86 1121.0 4.8
5 0 553.0 1.86 386.0 5.6
6 0 553.0 1.28 1121.0 4.8
7 0 553.0 1.86 1121.0 4.8
8 0 620.0 0.53 2386.0 5.6
9 0 105.0 0.53 2386.0 10.8
10 0 620.0 0.53 3121.0 3.6
11 0 620.0 1.11 2386.0 4.8
12 0 620.0 1.11 3121.0 5.6
13 0 105.0 1.11 2386.0 10.8
14 0 105.0 0.53 3121.0 10.0
15 0 105.0 1.11 3121.0 17.6
16 0 1520.0 1.65 1386.0 4.8
17 0 1207.0 1.65 1386.0 2.8
18 0 1520.0 1.65 2121.0 5.6
19 0 1520.0 0.74 1386.0 4.8
20 0 1520.0 0.74 2121.0 3.6
21 0 1207.0 0.74 1386.0 3.6
22 0 1207.0 1.65 2121.0 3.6
23 0 1207.0 0.74 2121.0 4.8
24 0 318.0 0.9 3386.0 15.6
25 0 280.0 0.9 3386.0 5.6
26 0 318.0 0.9 121.0 4.8
27 0 318.0 1.49 3386.0 8.8
28 0 318.0 1.49 121.0 3.6
29 0 280.0 1.49 3386.0 6.8
30 0 280.0 0.9 121.0 3.6
31 0 280.0 1.49 121.0 2.8
32 0 216.0 0.72 1886.0 5.6
33 0 185.0 0.72 1886.0 8.8
34 0 216.0 0.72 621.0 4.8
35 0 216.0 1.67 1886.0 4.8
36 0 216.0 1.67 621.0 5.6
37 0 185.0 1.67 1886.0 8.8
38 0 185.0 0.72 621.0 4.0
39 0 185.0 1.67 621.0 4.4
40 0 889.0 1.47 3886.0 3.6
41 0 780.0 1.47 3886.0 5.6
42 0 889.0 1.47 2621.0 3.6
43 0 889.0 0.92 3886.0 2.8
44 0 889.0 0.92 2621.0 3.6
45 0 780.0 0.92 3886.0 5.6
46 0 780.0 1.47 2621.0 3.6
47 0 780.0 0.92 2621.0 3.6
48 0 446.0 1.09 886.0 4.8
49 0 36.0 1.09 886.0 4.8
50 0 446.0 1.09 3621.0 5.6
51 0 446.0 0.55 886.0 5.6
52 0 446.0 0.55 3621.0 3.6
53 0 36.0 0.55 886.0 4.8
54 0 36.0 1.09 3621.0 11.6
55 0 36.0 0.55 3621.0 11.6
56 0 59.0 1.84 2886.0 16.0
57 0 398.0 1.84 2886.0 4.8
58 0 59.0 1.84 1621.0 15.6
59 0 59.0 1.3 2886.0 15.2
60 0 59.0 1.3 1621.0 15.2
61 0 398.0 1.3 2886.0 4.8
62 0 398.0 1.84 1621.0 3.6
63 0 398.0 1.3 1621.0 2.8
64 0 42.0 0.57 761.0 9.6
65 0 307.0 0.57 761.0 5.6
66 0 42.0 0.57 2496.0 6.4
67 0 42.0 0.88 761.0 9.6
68 0 42.0 0.88 2496.0 6.4
69 0 307.0 0.88 761.0 4.8
70 0 307.0 0.57 2496.0 3.6
71 0 307.0 0.88 2496.0 3.6
72 0 411.0 1.32 2761.0 4.8
73 0 1414.0 1.32 2761.0 4.8
74 0 411.0 1.32 496.0 4.8
75 0 411.0 1.63 2761.0 4.8
