id,run_id,"('Parameter', 'dummy', 'number_of_agents_mean')","('Parameter', 'omnet', '**wlan[*].radio.transmitter.power')","('Parameter', 'omnet', '*.hostMobile[*].app[1].messageLength')","('Parameter', 'omnet', '*.hostMobile[*].app[1].startTime')","('Parameter', 'omnet', '*.manager.host')","('Parameter', 'omnet', '*.manager.useVadereSeed')","('Parameter', 'omnet', '*.radioMedium.obstacleLoss.typename')","('Parameter', 'vadere', 'attributesSimulation.useFixedSeed')","('Parameter', 'vadere', 'sources.[id==1].distributionParameters')","('Parameter', 'vadere', 'sources.[id==2].distributionParameters')","('Parameter', 'vadere', 'sources.[id==5].distributionParameters')","('Parameter', 'vadere', 'sources.[id==6].distributionParameters')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,254.0,1.79mW,2011B,250s,"""vadere_Sample__0_0""",true,"""""",True,[0.635],[0.635],[0.635],[0.635],200.45026206970215,0
1,0,10.0,1.42mW,3011B,250s,"""vadere_Sample__1_0""",true,"""""",True,[0.025],[0.025],[0.025],[0.025],199.63784337043762,0
2,0,10.0,1.42mW,746B,250s,"""vadere_Sample__2_0""",true,"""""",True,[0.025],[0.025],[0.025],[0.025],199.60757851600647,0
3,0,10.0,1.16mW,3011B,250s,"""vadere_Sample__3_0""",true,"""""",True,[0.025],[0.025],[0.025],[0.025],200.49056363105774,0
4,0,10.0,1.16mW,746B,250s,"""vadere_Sample__4_0""",true,"""""",True,[0.025],[0.025],[0.025],[0.025],199.98632168769836,0
5,0,131.0,0.88mW,2880B,250s,"""vadere_Sample__5_0""",true,"""""",True,[0.3275],[0.3275],[0.3275],[0.3275],200.4905412197113,0
6,0,122.0,1.8mW,3943B,250s,"""vadere_Sample__6_0""",true,"""""",True,[0.305],[0.305],[0.305],[0.305],199.5919487476349,0
7,0,122.0,1.51mW,3943B,250s,"""vadere_Sample__7_0""",true,"""""",True,[0.305],[0.305],[0.305],[0.305],200.18798208236694,0
8,0,172.0,1.15mW,3693B,250s,"""vadere_Sample__8_0""",true,"""""",True,[0.43],[0.43],[0.43],[0.43],200.19132804870605,0
9,0,137.0,1.91mW,3384B,250s,"""vadere_Sample__9_0""",true,"""""",True,[0.3425],[0.3425],[0.3425],[0.3425],199.48690223693848,0
10,0,146.0,1.58mW,3474B,250s,"""vadere_Sample__10_0""",true,"""""",True,[0.365],[0.365],[0.365],[0.365],200.31650352478027,0
11,0,159.0,1.96mW,3833B,250s,"""vadere_Sample__11_0""",true,"""""",True,[0.3975],[0.3975],[0.3975],[0.3975],200.21570467948914,0
12,0,144.0,1.68mW,3900B,250s,"""vadere_Sample__12_0""",true,"""""",True,[0.36],[0.36],[0.36],[0.36],199.5655598640442,0
13,0,139.0,1.89mW,3708B,250s,"""vadere_Sample__13_0""",true,"""""",True,[0.34750000000000003],[0.34750000000000003],[0.34750000000000003],[0.34750000000000003],199.85839080810547,0
14,0,154.0,0.58mW,3771B,250s,"""vadere_Sample__14_0""",true,"""""",True,[0.385],[0.385],[0.385],[0.385],200.12734174728394,0
15,0,243.0,1.21mW,3712B,250s,"""vadere_Sample__15_0""",true,"""""",True,[0.6075],[0.6075],[0.6075],[0.6075],200.30975079536438,0
16,0,20.0,1.88mW,3244B,250s,"""vadere_Sample__16_0""",true,"""""",True,[0.05],[0.05],[0.05],[0.05],200.19698858261108,0
17,0,101.0,0.64mW,3052B,250s,"""vadere_Sample__17_0""",true,"""""",True,[0.2525],[0.2525],[0.2525],[0.2525],200.50742888450623,0
18,0,202.0,1.06mW,3177B,250s,"""vadere_Sample__18_0""",true,"""""",True,[0.505],[0.505],[0.505],[0.505],199.97760248184204,0
19,0,144.0,1.43mW,2619B,250s,"""vadere_Sample__19_0""",true,"""""",True,[0.36],[0.36],[0.36],[0.36],200.35218954086304,0
20,0,83.0,0.59mW,3869B,250s,"""vadere_Sample__20_0""",true,"""""",True,[0.20750000000000002],[0.20750000000000002],[0.20750000000000002],[0.20750000000000002],67.95031118392944,0
21,0,57.0,1.06mW,3681B,250s,"""vadere_Sample__21_0""",true,"""""",True,[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],67.79090428352356,0
22,0,57.0,1.88mW,3681B,250s,"""vadere_Sample__22_0""",true,"""""",True,[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],67.80989980697632,0
