id,run_id,"('Parameter', 'dummy', 'number_of_agents_mean')","('Parameter', 'omnet', '**wlan[*].radio.transmitter.power')","('Parameter', 'omnet', '*.hostMobile[*].app[1].messageLength')","('Parameter', 'omnet', '*.manager.host')","('Parameter', 'omnet', '*.manager.useVadereSeed')","('Parameter', 'omnet', '*.radioMedium.obstacleLoss.typename')","('Parameter', 'vadere', 'attributesSimulation.fixedSeed')","('Parameter', 'vadere', 'attributesSimulation.useFixedSeed')","('Parameter', 'vadere', 'sources.[id==1].distributionParameters')","('Parameter', 'vadere', 'sources.[id==2].distributionParameters')","('Parameter', 'vadere', 'sources.[id==5].distributionParameters')","('Parameter', 'vadere', 'sources.[id==6].distributionParameters')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,254.0,1.79mW,2011B,"""vadere_Sample__0_0""",true,"""""",65722447231342458,True,[0.635],[0.635],[0.635],[0.635],420.6300759315491,0
1,0,10.0,1.42mW,3011B,"""vadere_Sample__1_0""",true,"""""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025],98.49649906158447,0
2,0,10.0,1.42mW,746B,"""vadere_Sample__2_0""",true,"""""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025],98.51922750473022,0
3,0,10.0,1.16mW,3011B,"""vadere_Sample__3_0""",true,"""""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025],98.796546459198,0
4,0,10.0,1.16mW,746B,"""vadere_Sample__4_0""",true,"""""",65722447231342458,True,[0.025],[0.025],[0.025],[0.025],75.28464913368225,0
5,0,183.0,1.64mW,3478B,"""vadere_Sample__5_0""",true,"""""",65722447231342458,True,[0.4575],[0.4575],[0.4575],[0.4575],1578.9704687595367,0
6,0,131.0,0.88mW,2880B,"""vadere_Sample__6_0""",true,"""""",65722447231342458,True,[0.3275],[0.3275],[0.3275],[0.3275],305.4936492443085,0
7,0,122.0,1.8mW,3943B,"""vadere_Sample__7_0""",true,"""""",65722447231342458,True,[0.305],[0.305],[0.305],[0.305],1212.5633234977722,0
8,0,122.0,1.51mW,3943B,"""vadere_Sample__8_0""",true,"""""",65722447231342458,True,[0.305],[0.305],[0.305],[0.305],430.24159383773804,0
9,0,172.0,1.15mW,3693B,"""vadere_Sample__9_0""",true,"""""",65722447231342458,True,[0.43],[0.43],[0.43],[0.43],1833.6080522537231,0
10,0,137.0,1.91mW,3384B,"""vadere_Sample__10_0""",true,"""""",65722447231342458,True,[0.3425],[0.3425],[0.3425],[0.3425],4180.0094220638275,0
11,0,146.0,1.58mW,3474B,"""vadere_Sample__11_0""",true,"""""",65722447231342458,True,[0.365],[0.365],[0.365],[0.365],3022.8263244628906,0
12,0,159.0,1.96mW,3833B,"""vadere_Sample__12_0""",true,"""""",65722447231342458,True,[0.3975],[0.3975],[0.3975],[0.3975],983.8938851356506,0
13,0,144.0,1.68mW,3900B,"""vadere_Sample__13_0""",true,"""""",65722447231342458,True,[0.36],[0.36],[0.36],[0.36],2163.752362728119,0
14,0,139.0,1.89mW,3708B,"""vadere_Sample__14_0""",true,"""""",65722447231342458,True,[0.34750000000000003],[0.34750000000000003],[0.34750000000000003],[0.34750000000000003],1973.5060458183289,0
15,0,154.0,0.58mW,3771B,"""vadere_Sample__15_0""",true,"""""",65722447231342458,True,[0.385],[0.385],[0.385],[0.385],618.5001108646393,0
16,0,243.0,1.21mW,3712B,"""vadere_Sample__16_0""",true,"""""",65722447231342458,True,[0.6075],[0.6075],[0.6075],[0.6075],9170.182592630386,0
17,0,20.0,1.88mW,3244B,"""vadere_Sample__17_0""",true,"""""",65722447231342458,True,[0.05],[0.05],[0.05],[0.05],80.06590366363525,0
18,0,101.0,0.64mW,3052B,"""vadere_Sample__18_0""",true,"""""",65722447231342458,True,[0.2525],[0.2525],[0.2525],[0.2525],253.62801933288574,0
19,0,202.0,1.06mW,3177B,"""vadere_Sample__19_0""",true,"""""",65722447231342458,True,[0.505],[0.505],[0.505],[0.505],7901.28900885582,0
20,0,144.0,1.43mW,2619B,"""vadere_Sample__20_0""",true,"""""",65722447231342458,True,[0.36],[0.36],[0.36],[0.36],901.0403649806976,0
21,0,83.0,0.59mW,3869B,"""vadere_Sample__21_0""",true,"""""",65722447231342458,True,[0.20750000000000002],[0.20750000000000002],[0.20750000000000002],[0.20750000000000002],75.01126480102539,0
22,0,57.0,1.06mW,3681B,"""vadere_Sample__22_0""",true,"""""",65722447231342458,True,[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],289.037184715271,0
23,0,57.0,1.88mW,3681B,"""vadere_Sample__23_0""",true,"""""",65722447231342458,True,[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],[0.14250000000000002],177.4117681980133,0
